seed,execution_path,path,condition,attack,round,accuracy,macro_f1,evaluation_reward
2025,ep_sdp,static_dp,adversarial,data_poisoning,21,0.905,0.9030370908242016,2.5250000000000004
2025,ep_sdp,static_dp,adversarial,data_poisoning,22,0.51,0.4998223591634547,0.5499999999999998
2025,ep_sdp,static_dp,adversarial,data_poisoning,23,0.7393333333333333,0.6801974555700049,1.6966666666666663
2025,ep_sdp,static_dp,adversarial,data_poisoning,24,0.67,0.6643835204918569,1.35
2025,ep_sdp,static_dp,adversarial,data_poisoning,25,0.734,0.728263254586528,1.67
2025,ep_sdp,static_dp,adversarial,data_poisoning,26,0.6763333333333333,0.6373271253209789,1.3816666666666668
2025,ep_sdp,static_dp,adversarial,data_poisoning,27,0.673,0.5849201287998718,1.3650000000000002
2025,ep_sdp,static_dp,adversarial,data_poisoning,28,0.6153333333333333,0.5320927503979425,1.0766666666666662
2025,ep_sdp,static_dp,adversarial,data_poisoning,29,0.712,0.6640018844849955,1.5599999999999996
2025,ep_sdp,static_dp,adversarial,data_poisoning,30,0.5896666666666667,0.5138675492319752,0.9483333333333333
2025,ep_twa,twa,adversarial,data_poisoning,1,0.803,0.8045912975998463,2.0150000000000006
2025,ep_twa,twa,adversarial,data_poisoning,2,0.803,0.8047545593126408,2.0150000000000006
2025,ep_twa,twa,adversarial,data_poisoning,3,0.937,0.9372739884996946,2.6850000000000005
2025,ep_twa,twa,adversarial,data_poisoning,4,0.9526666666666668,0.9527645721925242,2.7633333333333336
2025,ep_twa,twa,adversarial,data_poisoning,5,0.9663333333333334,0.9663653251979052,2.831666666666667
2025,ep_twa,twa,adversarial,data_poisoning,6,0.972,0.9715506098029112,2.8599999999999994
2025,ep_twa,twa,adversarial,data_poisoning,7,0.97,0.9694855987703676,2.8499999999999996
2025,ep_twa,twa,adversarial,data_poisoning,8,0.9686666666666668,0.9681044307161636,2.8433333333333337
2025,ep_twa,twa,adversarial,data_poisoning,9,0.966,0.9652878387495912,2.83
2025,ep_twa,twa,adversarial,data_poisoning,10,0.9616666666666668,0.9607122102728236,2.8083333333333336
2025,ep_twa,twa,adversarial,data_poisoning,11,0.9606666666666668,0.9596579129947628,2.8033333333333337
2025,ep_twa,twa,adversarial,data_poisoning,12,0.962,0.9610622047273224,2.8099999999999996
2025,ep_twa,twa,adversarial,data_poisoning,13,0.9653333333333334,0.9645827842989778,2.826666666666667
2025,ep_twa,twa,adversarial,data_poisoning,14,0.967,0.9663292622111276,2.835
2025,ep_twa,twa,adversarial,data_poisoning,15,0.9673333333333334,0.9666913513876032,2.836666666666667
